"","Animal","Sample","Subsample","Tag","Trt","Time"
"1","1","1","1","114","A","1"
"2","6","1","1","115","B","1"
"3","5","1","1","116","A","1"
"4","4","1","2","117","B","1"
"5","3","1","1","114","A","1"
"6","2","1","1","115","B","1"
"7","2","2","1","116","B","2"
"8","1","2","2","117","A","2"
"9","6","2","1","114","B","2"
"10","5","2","1","115","A","2"
"11","4","2","1","116","B","2"
"12","3","2","2","117","A","2"
"13","3","3","1","114","A","3"
"14","2","3","1","115","B","3"
"15","1","3","1","116","A","3"
"16","6","3","2","117","B","3"
"17","5","3","1","114","A","3"
"18","4","3","1","115","B","3"
"19","4","3","1","116","B","3"
"20","3","3","2","117","A","3"
"21","2","3","1","114","B","3"
"22","1","3","1","115","A","3"
"23","6","3","1","116","B","3"
"24","5","3","2","117","A","3"
